Team,Values,When,Season
Fulham FC,€65.23m,summer,2005
Bolton Wanderers,€63.58m,summer,2005
Portsmouth FC,€63.00m,summer,2005
Charlton Athletic,€57.80m,summer,2005
West Bromwich Albion,€50.40m,summer,2005
Crystal Palace,€38.53m,summer,2005
Norwich City,€30.95m,summer,2005
Chelsea FC,€331.48m,winter,2005
Manchester United,€293.13m,winter,2005
Arsenal FC,€247.00m,winter,2005
Liverpool FC,€222.13m,winter,2005
Tottenham Hotspur,€127.25m,winter,2005
Newcastle United,€125.90m,winter,2005
Birmingham City,€105.98m,winter,2005
Manchester City,€94.30m,winter,2005
Middlesbrough FC,€88.93m,winter,2005
Southampton FC,€85.48m,winter,2005
Aston Villa,€84.18m,winter,2005
Everton FC,€74.28m,winter,2005
Blackburn Rovers,€73.88m,winter,2005
Fulham FC,€65.23m,winter,2005
Bolton Wanderers,€63.58m,winter,2005
Portsmouth FC,€63.00m,winter,2005
Charlton Athletic,€57.80m,winter,2005
West Bromwich Albion,€50.40m,winter,2005
Crystal Palace,€38.53m,winter,2005
Norwich City,€30.95m,winter,2005
Chelsea FC,€363.43m,summer,2006
Manchester United,€254.58m,summer,2006
Arsenal FC,€232.33m,summer,2006
Liverpool FC,€216.35m,summer,2006
Tottenham Hotspur,€154.33m,summer,2006
Newcastle United,€150.48m,summer,2006
Middlesbrough FC,€94.38m,summer,2006
Everton FC,€92.17m,summer,2006
Manchester City,€91.90m,summer,2006
Aston Villa,€89.00m,summer,2006
Portsmouth FC,€86.13m,summer,2006
Charlton Athletic,€82.43m,summer,2006
Birmingham City,€81.83m,summer,2006
Fulham FC,€70.88m,summer,2006
West Bromwich Albion,€65.55m,summer,2006
Blackburn Rovers,€63.80m,summer,2006
West Ham United,€62.55m,summer,2006
Bolton Wanderers,€61.85m,summer,2006
Wigan Athletic,€51.92m,summer,2006
Sunderland AFC,€32.50m,summer,2006
Chelsea FC,€363.43m,winter,2006
Manchester United,€254.58m,winter,2006
Arsenal FC,€232.33m,winter,2006
Liverpool FC,€216.35m,winter,2006
Tottenham Hotspur,€154.33m,winter,2006
Newcastle United,€150.48m,winter,2006
Middlesbrough FC,€94.38m,winter,2006
Everton FC,€92.17m,winter,2006
Manchester City,€91.90m,winter,2006
Aston Villa,€89.00m,winter,2006
Portsmouth FC,€86.13m,winter,2006
Charlton Athletic,€82.43m,winter,2006
Birmingham City,€81.83m,winter,2006
Fulham FC,€70.88m,winter,2006
West Bromwich Albion,€65.55m,winter,2006
Blackburn Rovers,€63.80m,winter,2006
West Ham United,€62.55m,winter,2006
Bolton Wanderers,€61.85m,winter,2006
Wigan Athletic,€51.92m,winter,2006
Sunderland AFC,€32.50m,winter,2006
Chelsea FC,€416.81m,summer,2007
Arsenal FC,€278.18m,summer,2007
Manchester United,€259.15m,summer,2007
Liverpool FC,€239.77m,summer,2007
Tottenham Hotspur,€164.83m,summer,2007
Newcastle United,€152.05m,summer,2007
Aston Villa,€109.50m,summer,2007
Everton FC,€109.45m,summer,2007
West Ham United,€105.45m,summer,2007
Portsmouth FC,€97.08m,summer,2007
Middlesbrough FC,€96.32m,summer,2007
Manchester City,€89.15m,summer,2007
Fulham FC,€84.68m,summer,2007
Blackburn Rovers,€78.90m,summer,2007
Wigan Athletic,€74.93m,summer,2007
Bolton Wanderers,€72.38m,summer,2007
Charlton Athletic,€71.47m,summer,2007
Sheffield United,€43.36m,summer,2007
Reading FC,€33.03m,summer,2007
Watford FC,€32.84m,summer,2007
Chelsea FC,€416.81m,winter,2007
Arsenal FC,€278.18m,winter,2007
Manchester United,€259.15m,winter,2007
Liverpool FC,€239.77m,winter,2007
Tottenham Hotspur,€164.83m,winter,2007
Newcastle United,€152.05m,winter,2007
Aston Villa,€109.50m,winter,2007
Everton FC,€109.45m,winter,2007
West Ham United,€105.45m,winter,2007
Portsmouth FC,€97.08m,winter,2007
Middlesbrough FC,€96.32m,winter,2007
Manchester City,€89.15m,winter,2007
Fulham FC,€84.68m,winter,2007
Blackburn Rovers,€78.90m,winter,2007
Wigan Athletic,€74.93m,winter,2007
Bolton Wanderers,€72.38m,winter,2007
Charlton Athletic,€71.47m,winter,2007
Sheffield United,€43.36m,winter,2007
Reading FC,€33.03m,winter,2007
Watford FC,€32.84m,winter,2007
Chelsea FC,€434.35m,summer,2008
Manchester United,€354.55m,summer,2008
Liverpool FC,€305.65m,summer,2008
Arsenal FC,€262.40m,summer,2008
Tottenham Hotspur,€220.45m,summer,2008
Everton FC,€155.30m,summer,2008
Manchester City,€150.10m,summer,2008
Portsmouth FC,€141.30m,summer,2008
Newcastle United,€135.20m,summer,2008
Middlesbrough FC,€120.90m,summer,2008
West Ham United,€120.00m,summer,2008
Aston Villa,€112.10m,summer,2008
Bolton Wanderers,€104.15m,summer,2008
Fulham FC,€99.05m,summer,2008
Blackburn Rovers,€90.85m,summer,2008
Sunderland AFC,€83.75m,summer,2008
Birmingham City,€83.25m,summer,2008
Wigan Athletic,€77.75m,summer,2008
Reading FC,€65.93m,summer,2008
Derby County,€50.40m,summer,2008
Chelsea FC,€434.35m,winter,2008
Manchester United,€354.55m,winter,2008
Liverpool FC,€305.65m,winter,2008
Arsenal FC,€262.40m,winter,2008
Tottenham Hotspur,€220.45m,winter,2008
Everton FC,€155.30m,winter,2008
Manchester City,€150.10m,winter,2008
Portsmouth FC,€141.30m,winter,2008
Newcastle United,€135.20m,winter,2008
Middlesbrough FC,€120.90m,winter,2008
West Ham United,€120.00m,winter,2008
Aston Villa,€112.10m,winter,2008
Bolton Wanderers,€104.15m,winter,2008
Fulham FC,€99.05m,winter,2008
Blackburn Rovers,€90.85m,winter,2008
Sunderland AFC,€83.75m,winter,2008
Birmingham City,€83.25m,winter,2008
Wigan Athletic,€77.75m,winter,2008
Reading FC,€65.93m,winter,2008
Derby County,€50.40m,winter,2008
Chelsea FC,€448.60m,summer,2009
Manchester United,€425.95m,summer,2009
Liverpool FC,€342.85m,summer,2009
Arsenal FC,€311.45m,summer,2009
Tottenham Hotspur,€279.10m,summer,2009
Manchester City,€252.85m,summer,2009
Everton FC,€190.33m,summer,2009
Aston Villa,€153.35m,summer,2009
Portsmouth FC,€152.60m,summer,2009
Newcastle United,€134.55m,summer,2009
West Ham United,€133.90m,summer,2009
Sunderland AFC,€110.30m,summer,2009
Wigan Athletic,€103.75m,summer,2009
Blackburn Rovers,€91.40m,summer,2009
Middlesbrough FC,€85.45m,summer,2009
Fulham FC,€83.85m,summer,2009
Bolton Wanderers,€81.65m,summer,2009
West Bromwich Albion,€66.10m,summer,2009
Hull City,€64.70m,summer,2009
Stoke City,€63.45m,summer,2009
Chelsea FC,€448.60m,winter,2009
Manchester United,€425.95m,winter,2009
Liverpool FC,€342.85m,winter,2009
Arsenal FC,€311.45m,winter,2009
Tottenham Hotspur,€279.10m,winter,2009
Manchester City,€252.85m,winter,2009
Everton FC,€190.33m,winter,2009
Aston Villa,€153.35m,winter,2009
Portsmouth FC,€152.60m,winter,2009
Newcastle United,€134.55m,winter,2009
West Ham United,€133.90m,winter,2009
Sunderland AFC,€110.30m,winter,2009
Wigan Athletic,€103.75m,winter,2009
Blackburn Rovers,€91.40m,winter,2009
Middlesbrough FC,€85.45m,winter,2009
Fulham FC,€83.85m,winter,2009
Bolton Wanderers,€81.65m,winter,2009
West Bromwich Albion,€66.10m,winter,2009
Hull City,€64.70m,winter,2009
Stoke City,€63.45m,winter,2009
Chelsea FC,€451.95m,summer,2010
Manchester United,€384.88m,summer,2010
Liverpool FC,€331.55m,summer,2010
Arsenal FC,€314.30m,summer,2010
Manchester City,€312.50m,summer,2010
Tottenham Hotspur,€263.53m,summer,2010
Everton FC,€218.93m,summer,2010
Aston Villa,€167.38m,summer,2010
Sunderland AFC,€131.58m,summer,2010
West Ham United,€121.75m,summer,2010
Fulham FC,€101.43m,summer,2010
Portsmouth FC,€96.65m,summer,2010
Blackburn Rovers,€91.63m,summer,2010
Bolton Wanderers,€85.80m,summer,2010
Stoke City,€80.65m,summer,2010
Wigan Athletic,€77.60m,summer,2010
Hull City,€73.20m,summer,2010
Birmingham City,€69.65m,summer,2010
Wolverhampton Wanderers,€65.48m,summer,2010
Burnley FC,€48.15m,summer,2010
Chelsea FC,€451.95m,winter,2010
Manchester United,€384.88m,winter,2010
Liverpool FC,€331.55m,winter,2010
Arsenal FC,€314.30m,winter,2010
Manchester City,€312.50m,winter,2010
Tottenham Hotspur,€263.53m,winter,2010
Everton FC,€218.93m,winter,2010
Aston Villa,€167.38m,winter,2010
Sunderland AFC,€131.58m,winter,2010
West Ham United,€121.75m,winter,2010
Fulham FC,€101.43m,winter,2010
Portsmouth FC,€96.65m,winter,2010
Blackburn Rovers,€91.63m,winter,2010
Bolton Wanderers,€85.80m,winter,2010
Stoke City,€80.65m,winter,2010
Wigan Athletic,€77.60m,winter,2010
Hull City,€73.20m,winter,2010
Birmingham City,€69.65m,winter,2010
Wolverhampton Wanderers,€65.48m,winter,2010
Burnley FC,€48.15m,winter,2010
Manchester City,€360.30m,summer,2011
Liverpool FC,€275.00m,summer,2011
Chelsea FC,€360.00m,summer,2011
Manchester United,€369.50m,summer,2011
Tottenham Hotspur,€282.70m,summer,2011
Leicester City,€32.85m,summer,2011
Arsenal FC,€303.00m,summer,2011
Everton FC,€176.40m,summer,2011
Aston Villa,€142.15m,summer,2011
West Ham United,€116.65m,summer,2011
Wolverhampton Wanderers,€71.00m,summer,2011
Newcastle United,€78.75m,summer,2011
Leeds United,€27.58m,summer,2011
Southampton FC,€15.83m,summer,2011
Crystal Palace,€17.40m,summer,2011
Brighton & Hove Albion,€5.95m,summer,2011
Brentford FC,€7.15m,summer,2011
Norwich City,€17.18m,summer,2011
Burnley FC,€34.60m,summer,2011
Watford FC,€10.60m,summer,2011
Manchester City,€366.75m,winter,2011
Liverpool FC,€241.50m,winter,2011
Chelsea FC,€408.50m,winter,2011
Manchester United,€374.70m,winter,2011
Tottenham Hotspur,€283.10m,winter,2011
Leicester City,€37.80m,winter,2011
Arsenal FC,€308.50m,winter,2011
Everton FC,€158.00m,winter,2011
Aston Villa,€155.50m,winter,2011
West Ham United,€126.50m,winter,2011
Wolverhampton Wanderers,€74.00m,winter,2011
Newcastle United,€92.25m,winter,2011
Leeds United,€23.43m,winter,2011
Southampton FC,€17.03m,winter,2011
Crystal Palace,€19.65m,winter,2011
Brighton & Hove Albion,€6.45m,winter,2011
Brentford FC,€7.03m,winter,2011
Norwich City,€15.70m,winter,2011
Burnley FC,€32.73m,winter,2011
Watford FC,€9.50m,winter,2011
Manchester City,€433.50m,summer,2012
Liverpool FC,€244.00m,summer,2012
Chelsea FC,€421.00m,summer,2012
Manchester United,€405.30m,summer,2012
Tottenham Hotspur,€274.55m,summer,2012
Leicester City,€38.30m,summer,2012
Arsenal FC,€289.30m,summer,2012
Everton FC,€141.50m,summer,2012
Aston Villa,€131.55m,summer,2012
West Ham United,€74.65m,summer,2012
Wolverhampton Wanderers,€73.50m,summer,2012
Newcastle United,€103.00m,summer,2012
Leeds United,€22.73m,summer,2012
Southampton FC,€18.83m,summer,2012
Crystal Palace,€21.35m,summer,2012
Brighton & Hove Albion,€15.28m,summer,2012
Brentford FC,€6.23m,summer,2012
Norwich City,€29.55m,summer,2012
Burnley FC,€23.60m,summer,2012
Watford FC,€17.58m,summer,2012
Manchester City,€467.00m,winter,2012
Liverpool FC,€235.00m,winter,2012
Chelsea FC,€381.00m,winter,2012
Manchester United,€415.00m,winter,2012
Tottenham Hotspur,€269.50m,winter,2012
Leicester City,€36.35m,winter,2012
Arsenal FC,€299.25m,winter,2012
Everton FC,€147.00m,winter,2012
Aston Villa,€129.25m,winter,2012
West Ham United,€62.45m,winter,2012
Wolverhampton Wanderers,€81.25m,winter,2012
Newcastle United,€134.50m,winter,2012
Leeds United,€19.10m,winter,2012
Southampton FC,€27.78m,winter,2012
Crystal Palace,€22.05m,winter,2012
Brighton & Hove Albion,€17.08m,winter,2012
Brentford FC,€5.95m,winter,2012
Norwich City,€50.80m,winter,2012
Burnley FC,€22.58m,winter,2012
Watford FC,€13.65m,winter,2012
Manchester City,€498.25m,summer,2013
Liverpool FC,€239.30m,summer,2013
Chelsea FC,€387.00m,summer,2013
Manchester United,€441.00m,summer,2013
Tottenham Hotspur,€261.00m,summer,2013
Leicester City,€25.55m,summer,2013
Arsenal FC,€284.75m,summer,2013
Everton FC,€125.00m,summer,2013
Aston Villa,€115.50m,summer,2013
West Ham United,€92.45m,summer,2013
Wolverhampton Wanderers,€70.05m,summer,2013
Newcastle United,€158.00m,summer,2013
Leeds United,€19.20m,summer,2013
Southampton FC,€68.65m,summer,2013
Crystal Palace,€18.60m,summer,2013
Brighton & Hove Albion,€24.30m,summer,2013
Brentford FC,€4.75m,summer,2013
Norwich City,€61.95m,summer,2013
Burnley FC,€19.83m,summer,2013
Watford FC,€22.05m,summer,2013
Manchester City,€433.25m,winter,2013
Liverpool FC,€241.50m,winter,2013
Chelsea FC,€386.75m,winter,2013
Manchester United,€421.25m,winter,2013
Tottenham Hotspur,€266.50m,winter,2013
Leicester City,€28.10m,winter,2013
