Team,Values,When,Season
Watford FC,€167.70m,summer,2019
Manchester City,€1.13bn,winter,2019
Liverpool FC,€926.50m,winter,2019
Chelsea FC,€886.75m,winter,2019
Manchester United,€759.00m,winter,2019
Tottenham Hotspur,€801.50m,winter,2019
Leicester City,€335.00m,winter,2019
Arsenal FC,€615.50m,winter,2019
Everton FC,€425.00m,winter,2019
Aston Villa,€117.25m,winter,2019
West Ham United,€297.00m,winter,2019
Wolverhampton Wanderers,€223.25m,winter,2019
Newcastle United,€190.15m,winter,2019
Leeds United,€66.00m,winter,2019
Southampton FC,€221.60m,winter,2019
Crystal Palace,€245.95m,winter,2019
Brighton & Hove Albion,€173.50m,winter,2019
Brentford FC,€47.75m,winter,2019
Norwich City,€54.40m,winter,2019
Burnley FC,€177.25m,winter,2019
Watford FC,€174.00m,winter,2019
Manchester City,€1.28bn,summer,2020
Liverpool FC,€1.07bn,summer,2020
Chelsea FC,€807.00m,summer,2020
Manchester United,€753.25m,summer,2020
Tottenham Hotspur,€985.00m,summer,2020
Leicester City,€410.25m,summer,2020
Arsenal FC,€690.75m,summer,2020
Everton FC,€506.00m,summer,2020
Aston Villa,€191.00m,summer,2020
West Ham United,€348.75m,summer,2020
Wolverhampton Wanderers,€333.75m,summer,2020
Newcastle United,€273.58m,summer,2020
Leeds United,€94.00m,summer,2020
Southampton FC,€237.00m,summer,2020
Crystal Palace,€236.55m,summer,2020
Brighton & Hove Albion,€219.60m,summer,2020
Brentford FC,€60.90m,summer,2020
Norwich City,€121.60m,summer,2020
Burnley FC,€198.75m,summer,2020
Watford FC,€235.15m,summer,2020
Manchester City,€1.29bn,winter,2020
Liverpool FC,€1.19bn,winter,2020
Chelsea FC,€848.05m,winter,2020
Manchester United,€800.75m,winter,2020
Tottenham Hotspur,€897.50m,winter,2020
Leicester City,€501.25m,winter,2020
Arsenal FC,€698.75m,winter,2020
Everton FC,€475.70m,winter,2020
Aston Villa,€261.40m,winter,2020
West Ham United,€368.75m,winter,2020
Wolverhampton Wanderers,€344.55m,winter,2020
Newcastle United,€311.33m,winter,2020
Leeds United,€103.75m,winter,2020
Southampton FC,€220.00m,winter,2020
Crystal Palace,€230.00m,winter,2020
Brighton & Hove Albion,€227.25m,winter,2020
Brentford FC,€84.55m,winter,2020
Norwich City,€145.35m,winter,2020
Burnley FC,€195.75m,winter,2020
Watford FC,€231.80m,winter,2020
Manchester City,€1.08bn,summer,2021
Liverpool FC,€1.08bn,summer,2021
Chelsea FC,€838.90m,summer,2021
Manchester United,€799.85m,summer,2021
Tottenham Hotspur,€738.55m,summer,2021
Leicester City,€469.00m,summer,2021
Arsenal FC,€631.95m,summer,2021
Everton FC,€514.60m,summer,2021
Aston Villa,€311.80m,summer,2021
West Ham United,€287.95m,summer,2021
Wolverhampton Wanderers,€387.90m,summer,2021
Newcastle United,€272.10m,summer,2021
Leeds United,€181.33m,summer,2021
Southampton FC,€219.10m,summer,2021
Crystal Palace,€224.48m,summer,2021
Brighton & Hove Albion,€230.80m,summer,2021
Brentford FC,€67.15m,summer,2021
Norwich City,€114.15m,summer,2021
Burnley FC,€152.08m,summer,2021
Watford FC,€110.40m,summer,2021
Manchester City,€1.06bn,winter,2021
Liverpool FC,€1.12bn,winter,2021
Chelsea FC,€803.65m,winter,2021
Manchester United,€738.35m,winter,2021
Tottenham Hotspur,€719.65m,winter,2021
Leicester City,€468.50m,winter,2021
Arsenal FC,€554.00m,winter,2021
Everton FC,€491.50m,winter,2021
Aston Villa,€331.30m,winter,2021
West Ham United,€271.35m,winter,2021
Wolverhampton Wanderers,€428.20m,winter,2021
Newcastle United,€278.70m,winter,2021
Leeds United,€194.48m,winter,2021
Southampton FC,€239.55m,winter,2021
Crystal Palace,€222.90m,winter,2021
Brighton & Hove Albion,€248.85m,winter,2021
Brentford FC,€82.35m,winter,2021
Norwich City,€118.75m,winter,2021
Burnley FC,€151.65m,winter,2021
Watford FC,€99.70m,winter,2021
