Weekend,Month,Top Referee,Outcome,Home Avg Goal,Home Avg Opp Goal,Home Diff Goal,Home Rank,Last Season Home,Home Values,Home Win Percent,Home Lose Percent,Avg Goal (diff),Avg Opp Goal (diff),Diff Goal (diff),Rank (diff),Last Season (diff),Values (diff),Win Percent (diff),Lose Percent (diff),Top Win Home,Top Draw Home,Top Lose Home,Top Win Away,Top Draw Away,Top Lose Away
0,9,0,1,1.0,0.0,1,12,4,331.525,1.0,0.0,1.0,0.0,1,-7,-1,213.77499999999998,1.0,0.0,1,0,0,0,1,0
0,9,0,0,4.0,2.0,2,10,1,455.35,1.0,0.0,4.0,1.0,3,8,-2,74.72500000000002,1.0,-1.0,1,0,0,1,1,0
1,9,0,0,2.5,1.0,3,2,18,152.05,1.0,0.0,2.0,-0.5,5,-9,17,-303.3,1.0,-0.5,0,0,1,1,0,0
1,9,0,1,4.0,0.0,8,3,10,423.125,1.0,0.0,3.0,-2.5,11,-12,-10,326.1,1.0,-1.0,1,0,0,0,0,0
1,9,0,-1,1.0,0.5,1,14,21,187.905,0.5,0.0,0.5,-1.0,3,-6,16,70.155,0.5,-0.5,0,0,0,0,1,0
1,9,1,1,1.0,0.5,1,4,14,229.5,0.5,0.0,-0.5,-1.0,1,-14,7,22.75,0.5,0.0,0,0,0,0,0,0
1,9,0,0,0.5,2.5,-4,9,16,187.905,0.0,1.0,-1.5,1.5,-6,8,4,0.0,-1.0,1.0,0,0,0,0,0,0
1,9,0,-1,1.0,1.5,-1,10,17,94.38,0.0,0.5,0.0,-1.0,2,-2,8,-90.41000000000003,0.0,-0.5,0,0,0,0,1,1
1,9,0,1,2.0,0.5,3,6,4,331.525,1.0,0.0,1.0,-2.0,6,-2,-17,-138.35000000000002,0.5,-0.5,1,0,0,1,0,0
1,9,0,0,1.0,0.0,2,16,6,187.905,0.5,0.0,0.0,-1.5,3,11,3,-192.72,0.5,-0.5,0,0,0,1,1,0
1,9,0,0,2.5,2.5,0,17,11,50.4,0.0,0.0,1.0,-1.5,5,4,-10,-21.07,0.0,-1.0,0,0,0,0,0,0
1,9,0,1,3.0,1.5,3,7,19,282.9,1.0,0.0,1.5,-1.0,5,-12,11,148.99999999999997,1.0,-0.5,1,0,0,0,0,1
1,9,0,1,2.0,2.5,-1,19,7,206.75,0.0,0.5,1.0,1.5,-1,15,-11,54.69999999999999,-0.5,0.0,0,0,0,0,0,1
1,9,0,1,1.0,1.5,-1,14,5,117.75,0.0,0.5,1.0,-0.833333333333333,6,-1,-1,-70.155,0.0,-0.5,0,1,1,0,0,0
1,9,1,1,3.5,1.5,4,7,3,380.625,1.0,0.0,2.166666666666667,0.8333333333333334,2,-2,-13,192.72,0.0,0.0,1,0,0,0,0,0
1,9,1,-1,1.5,1.0,1,3,12,187.905,0.5,0.5,0.5,-1.5,4,-14,-9,0.0,0.5,-0.5,0,0,0,0,0,0
1,9,0,-1,2.5,1.0,3,8,9,184.79000000000002,0.5,0.0,1.0,-0.5,3,7,-1,-238.33499999999998,0.5,0.0,0,1,0,1,0,0
1,9,0,1,1.0,0.5,1,18,20,97.025,0.5,0.0,-1.0,-2.0,2,2,9,46.62500000000001,0.5,-0.5,0,0,1,0,0,0
1,9,0,1,2.5,0.5,4,13,21,71.47,0.5,0.0,2.1666666666666665,-0.5,6,7,2,-211.42999999999998,0.5,-0.5,0,0,0,1,0,1
1,9,0,0,2.5,2.0,1,11,21,469.875,0.5,0.5,0.5,0.6666666666666667,-1,-1,4,375.495,0.0,0.5,1,0,0,0,0,0
1,9,0,-1,3.0,2.0,2,10,1,455.35,0.5,0.0,2.6666666666666665,2.0,1,8,-13,225.85000000000002,0.0,0.0,1,0,0,0,0,0
1,9,0,0,1.0,1.5,-1,20,8,133.9,0.0,0.5,-0.5,-1.0,1,15,4,-197.62499999999997,0.0,0.0,0,0,1,1,0,0
1,9,0,-1,1.6666666666666667,0.6666666666666666,3,7,18,152.05,0.6666666666666666,0.0,0.0,-2.6666666666666665,8,-1,-3,80.58000000000001,0.6666666666666666,-0.6666666666666666,0,0,1,0,0,0
1,9,0,-1,0.3333333333333333,1.6666666666666667,-4,13,16,187.905,0.0,0.6666666666666666,-0.6666666666666667,-0.33333333333333326,-1,-7,8,54.004999999999995,0.0,0.0,0,0,0,0,0,1
1,9,0,0,2.333333333333333,1.0,4,6,19,282.9,1.0,0.0,0.9999999999999998,-1.6666666666666665,8,-6,-2,-186.97500000000002,0.6666666666666667,-0.6666666666666666,1,0,0,1,0,0
1,9,0,0,2.333333333333333,1.0,4,4,4,331.525,1.0,0.0,1.6666666666666665,-1.6666666666666665,10,-10,-16,234.49999999999997,1.0,-1.0,1,0,0,0,0,0
1,9,0,0,2.333333333333333,2.333333333333333,0,19,11,50.4,0.0,0.0,0.9999999999999998,1.6666666666666665,-2,14,-1,-137.505,-0.6666666666666666,0.0,0,0,0,0,0,0
1,9,0,0,1.0,1.0,0,11,21,187.905,0.3333333333333333,0.3333333333333333,0.0,-0.33333333333333326,1,8,18,-192.72,0.3333333333333333,0.0,0,0,0,1,1,0
