Team,W,D,L,Diff,Goal,Opponent Goal,Rank,wk,Season
Southampton,11,7,18,-19,43,62,15,36,2000
Derby County,9,10,17,-9,44,53,16,36,2000
Bradford City,8,9,19,-28,37,65,17,36,2000
,7,11,18,-26,44,70,18,36,2000
,7,7,22,-33,33,66,19,36,2000
Watford,5,5,26,-43,33,76,20,36,2000
Manchester Utd,27,7,3,51,96,45,1,37,2000
Arsenal,22,7,8,32,71,39,2,37,2000
Leeds United,21,5,11,15,58,43,3,37,2000
Liverpool,19,10,8,22,51,29,4,37,2000
Chelsea,17,11,9,15,49,34,5,37,2000
Aston Villa,15,13,9,12,46,34,6,37,2000
Sunderland,16,10,11,3,56,53,7,37,2000
Leicester City,16,7,14,4,55,51,8,37,2000
West Ham,15,9,13,-1,52,53,9,37,2000
Everton,12,14,11,12,59,47,10,37,2000
Tottenham,14,8,15,6,54,48,11,37,2000
Newcastle Utd,13,10,14,7,59,52,12,37,2000
Middlesbrough,13,10,14,-8,44,52,13,37,2000
Coventry City,12,8,17,-6,47,53,14,37,2000
Southampton,11,8,18,-19,43,62,15,37,2000
Derby County,9,11,17,-9,44,53,16,37,2000
,7,12,18,-26,46,72,17,37,2000
Bradford City,8,9,20,-31,37,68,18,37,2000
,7,7,23,-36,34,70,19,37,2000
Watford,5,6,26,-43,34,77,20,37,2000
Manchester Utd,28,7,3,52,97,45,1,38,2000
Arsenal,22,7,9,30,73,43,2,38,2000
Leeds United,21,6,11,15,58,43,3,38,2000
Liverpool,19,10,9,21,51,30,4,38,2000
Chelsea,18,11,9,19,53,34,5,38,2000
Aston Villa,15,13,10,11,46,35,6,38,2000
Sunderland,16,10,12,1,57,56,7,38,2000
Leicester City,16,7,15,0,55,55,8,38,2000
West Ham,15,10,13,-1,52,53,9,38,2000
Tottenham,15,8,15,8,57,49,10,38,2000
Newcastle Utd,14,10,14,9,63,54,11,38,2000
Middlesbrough,14,10,14,-6,46,52,12,38,2000
Everton,12,14,12,10,59,49,13,38,2000
Coventry City,12,8,18,-7,47,54,14,38,2000
Southampton,12,8,18,-17,45,62,15,38,2000
Derby County,9,11,18,-13,44,57,16,38,2000
Bradford City,9,9,20,-30,38,68,17,38,2000
,7,12,19,-28,46,74,18,38,2000
,8,7,23,-32,38,70,19,38,2000
Watford,6,6,26,-42,35,77,20,38,2000
